location,date difference,lack,spending,Population - Sex: all - Age: all - Variant: estimates,GDP per capita,Domestic general government health expenditure (% of GDP),lack per population,urgency,log_urgency,Economy
India,43,10259103.0,8421.778619466299,1438069597,7765.593,1.0844991,0.007133940541822052,75327565077011.8,13.876953929324147,Developing
World,1,63060174.0,115179.80831749999,8091734935,16676.75,6.90661,0.0077931586373695275,4430170708015.067,12.646420461239,Developed
Bangladesh,54,531773.0,2336.1166251773698,171466986,4925.721,0.47426897,0.003101314208672216,2107686610517.4746,12.323806036596975,Developing
Pakistan,68,525900.0,5752.7739701138,247504504,5531.723,1.0399606,0.0021248098176023496,1538572193941.0234,12.187117879325504,Developing
Nigeria,101,152537.0,2565.5607976562196,227882949,5070.4927,0.5059786,0.0006693655697776669,1368441053418.1213,12.136226094602115,Developing
Brazil,44,8393380.0,67566.2301998332,211140731,14640.076,4.6151557,0.03975253832004588,1154069316504.0134,12.062231894496595,Developed
Democratic Republic of the Congo,142,27875.0,549.26521383804,105789733,844.172,0.65065557,0.00026349437898666407,762367978341.9219,11.882164646390155,Developing
Turkmenistan,86,16952972.0,17375.795625136,7364437,17234.555,1.0081952,2.302005163463276,617929810969.313,11.790939147516198,Developed
Indonesia,49,775929.0,24060.7316833303,281190068,12801.671,1.8794993,0.00275944668145249,444333656436.2395,11.647709210497103,Developed
Philippines,87,575588.0,20840.198531419795,114891200,8370.666,2.4896703,0.005009852799866308,276067890886.60565,11.441015897324935,Developing
Iran,67,1456370.0,53124.185561650396,90608708,18473.066,2.8757644,0.01607317919156291,166427151385.25784,11.221224179736414,Developed
Ukraine,82,1265222.0,29089.422479435998,37732832,7749.0996,3.75391,0.03353106387561899,134575155440.13057,11.128964890116944,Developing
Uganda,98,39464.0,1427.1988686708598,48656604,2122.0278,0.6725637,0.0008110718125745068,131851319193.05463,11.120084479335354,Developing
Cameroon,129,61331.0,1724.8663231504001,28372688,2812.2148,0.613348,0.0021616210631858358,130141196604.10272,11.114414795606455,Developing
South Africa,76,1487803.0,60852.7795016015,63212386,11415.887,5.3305345,0.023536573987256233,117457508936.57536,11.06988078599637,Developing
Iraq,115,800430.0,36448.419713524,45074055,13071.94,2.7882946,0.017758109404623124,113833247219.77641,11.056269124759178,Developed
Myanmar,54,133774.0,3817.5038193507803,54133801,5177.4326,0.7373353,0.0024711732324135156,102436448955.56378,11.010454514879035,Developing
Madagascar,159,38403.0,1964.57544653038,31195936,1367.0938,1.4370451,0.0012310257336083778,96959771964.71918,10.986591585425959,Developing
Colombia,75,2185151.0,94543.50969979199,52321152,14468.964,6.534228,0.04176419892283717,90696033479.97209,10.957588293946214,Developed
Haiti,224,19509.0,626.74697916248,11637402,1546.4222,0.4052884,0.0016764050945391419,81142206710.57756,10.90924681442568,Developing
Kenya,96,104362.0,6924.517088245,55339007,3403.9238,2.034275,0.0018858668714456695,80067357765.70699,10.903455496963431,Developing
United States of America,9,15966776.0,624738.77034456,343477332,58487.465,10.681584,0.04648567609113722,79005870826.41345,10.89765936436363,Developed
Afghanistan,30,47514.0,754.6581963410101,41454762,1357.9878,0.55571795,0.001146165065427224,78300940924.70253,10.893766980907891,Developing
Turkey,41,2037666.0,99625.9450327848,87270503,27361.988,3.6410346,0.023348851329526542,73183281774.70857,10.864411880754439,Developed
Mexico,20,1385674.0,53587.366214472,129739764,16235.455,3.3006384,0.01068041098024504,67096791815.22631,10.826701755187571,Developed
Nepal,59,157784.0,4685.3960794636205,29694614,3013.5178,1.5547929,0.005313556189011246,58999230557.863525,10.770846347800568,Developing
Egypt,57,159828.0,18402.7619621274,114535772,13205.406,1.3935779,0.0013954417664378252,56700365634.17504,10.753585859464206,Developed
Burundi,319,19649.0,1724.3107921127248,13689455,717.22845,2.4041305,0.0014353383681088838,49762449267.03187,10.696901747827837,Developing
Peru,67,1169187.0,54643.97953621601,33845617,12762.967,4.281448,0.03454470928983212,48519788172.98985,10.68591889616192,Developed
Kyrgyzstan,123,666646.0,12509.207636234,7073523,5304.841,2.358074,0.09424525798530661,46366718178.41462,10.666206357758124,Developing
Morocco,57,375769.0,21914.553722172,37712517,8400.127,2.608836,0.009964039260492743,36859436604.2423,10.566548692751242,Developing
Venezuela,80,134957.0,8831.128878962909,28300860,5267.1753,1.6766347,0.004768653673421938,34599419533.94782,10.539068812800926,Developing
Zimbabwe,76,35065.0,1289.20157886138,16340829,1703.5294,0.7567827,0.0021458519638140757,33778525832.803356,10.528640692107428,Developing
Russia,11,2625428.0,136316.04210985082,145440504,25437.107,5.3589444,0.018051560107354963,30812802527.73199,10.488731200653099,Developed
Zambia,132,89812.0,8161.53059087852,20723968,3342.4214,2.4418018,0.004333726050918434,30102987560.286278,10.47860959913406,Developing
Malawi,103,27372.0,2344.52106316635,21104480,1190.0509,1.9701015,0.0012969758079801066,25378402041.448544,10.404464273139725,Developing
Mozambique,99,15692.0,2631.0627765888,33635165,1087.836,2.4186208,0.00046653554397607384,19859844612.512783,10.29797584616378,Developing
Cote d'Ivoire,92,30573.0,5489.171645145299,31165651,4011.7122,1.3682865,0.000980983840189958,15969645492.074173,10.203295275403052,Developing
Argentina,25,1609413.0,121031.6086226588,45538402,18292.318,6.6165266,0.03534188573415466,15138627217.317072,10.180086494782627,Developed
Syria,125,16784.0,3442.7020995431203,23594622,2494.7612,1.3799726,0.0007113485437486559,14378681490.498213,10.157719063539593,Developing
Malaysia,82,283500.0,57938.666130220394,35126295,26628.707,2.1757972,0.008070876817495269,14093886421.71514,10.149030767330036,Developed
Guatemala,85,168707.0,19731.5325425913,18124842,7969.431,2.4759023,0.009308053554342709,13172416059.368916,10.119665439731518,Developing
Japan,75,415657.0,351539.86029288,124370947,38268.79,9.186072,0.0033420747371168606,11029116585.977526,10.042540727562573,Developed
Burkina Faso,180,13231.0,4978.753225464599,23025778,1704.966,2.9201481,0.0005746168489942012,11014350357.588318,10.041958886921662,Developing
Central African Republic,159,9714.0,725.3419335771001,5152417,596.393,1.2162147,0.0018853287690029747,10971435196.21991,10.040263442253794,Developing
Spain,31,1935666.0,267838.3034440375,47911583,34123.387,7.8491125,0.04040079410442356,10733959451.764214,10.030759950378227,Developed
Mali,119,9130.0,2445.5301010550097,23769129,1651.9413,1.4803977,0.0003841116769571153,10559855948.405317,10.023657993838002,Developing
Italy,23,2031991.0,265490.79567687947,59499452,36224.293,7.3290815,0.03415142378118037,10474013101.643661,10.020113112812362,Developed
Senegal,81,32548.0,4580.679463374079,18077573,2660.6816,1.7216188,0.0018004629271860776,10404460060.433596,10.017219547415628,Developing
France,23,2337642.0,365796.34627306997,66438828,39065.71,9.363617,0.035184877132390116,9765364022.787752,9.989688437090475,Developed
Honduras,86,166227.0,17715.54959853126,10644855,5186.5303,3.4156842,0.015615712943013315,8589841257.418638,9.933985138026335,Developing
Poland,24,1257923.0,151567.8805502114,38762847,32468.402,4.6681657,0.03245177011894921,7721004203.757151,9.887673788909316,Developed
Tunisia,99,236285.0,40633.7744136708,12200434,10913.846,3.7231398,0.01936693399595457,7023595010.294979,9.846559461630266,Developing
Angola,94,14886.0,7494.0756642765,36749907,6118.905,1.2247413,0.0004050622495452846,6861894537.803893,9.836444038989494,Developing
Germany,23,1635751.0,469181.86932124494,84548234,46647.793,10.057965,0.019346956436724627,6779666797.051675,9.83120834994999,Developed
Niger,134,3706.0,2360.52666829476,26159862,1007.72095,2.3424408,0.00014166741399476802,5503471866.3156395,9.740636750708948,Developing
Algeria,57,105339.0,53433.743988214796,46164221,13506.444,3.9561667,0.0022818320707718646,5187450349.51169,9.714953952990262,Developed
Lebanon,72,336944.0,27224.890088007,5773492,10341.159,2.632673,0.0583605208078577,5144730822.25433,9.711362656947282,Developing
Kazakhstan,69,229407.0,66408.26914419391,20330106,26491.857,2.5067427,0.011284102502957928,4845886505.098495,9.685373238363878,Developed
Jordan,50,283557.0,33974.8822601622,11439219,9151.479,3.7125018,0.02478814331642746,4773630408.99544,9.678848791388928,Developing
Bolivia,60,211803.0,36611.6449681098,12244161,6481.3906,5.648733,0.017298286097348767,4250041266.1740456,9.628393146893764,Developing
Ecuador,47,230791.0,50317.609383143994,17980079,10124.076,4.970094,0.012835928029014778,3876040650.141013,9.588388323084445,Developing
Azerbaijan,64,164935.0,28103.210078371998,10318210,17682.94,1.5892838,0.01598484620879009,3875620384.3852673,9.588341231474525,Developed
Sri Lanka,56,53144.0,19939.1585549947,22971616,10705.481,1.8625187,0.0023134637110423578,3428680263.054469,9.535126987458046,Developing
Dominican Republic,74,228510.0,57450.744766448006,11331268,17713.52,3.2433274,0.02016632207445804,3335183843.6430864,9.523119778306281,Developed
